row,col,code,name
7,7,001,Adams
5,1,003,Allegheny
,,005,Armstrong
4,1,007,Beaver
7,4,009,Bedford
,,011,Berks
,,013,Blair
1,7,015,Bradford
,,017,Bucks
,,019,Butler
,,021,Cambria
2,5,023,Cameron
,,025,Carbon
,,027,Centre
7,9,029,Chester
,,031,Clarion
,,033,Clearfield
,,035,Clinton
,,037,Columbia
1,2,039,Crawford
,,041,Cumberland
,,043,Dauphin
7,10,045,Delaware
2,4,047,Elk
1,1,049,Erie
7,2,051,Fayette
2,3,053,Forest
7,6,055,Franklin
7,5,057,Fulton
7,1,059,Greene
,,061,Huntingdon
,,063,Indiana
,,065,Jefferson
,,067,Juniata
2,9,069,Lackawanna
,,071,Lancaster
3,1,073,Lawrence
,,075,Lebanon
,,077,Lehigh
,,079,Luzerne
2,6,081,Lycoming
1,4,083,McKean
2,1,085,Mercer
,,087,Mifflin
,,089,Monroe
,,091,Montgomery
,,093,Montour
,,095,Northampton
,,097,Northumberland
,,099,Perry
,,101,Philadelphia
2,10,103,Pike
1,5,105,Potter
,,107,Schuylkill
,,109,Snyder
7,3,111,Somerset
2,7,113,Sullivan
1,8,115,Susquehanna
1,6,117,Tioga
,,119,Union
2,2,121,Venango
1,3,123,Warren
6,1,125,Washington
,,127,Wayne
,,129,Westmoreland
2,8,131,Wyoming
7,8,133,York
